Person 1,Relationship,Relationship Value
James Mitchell,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2115524710,https://www.semanticscholar.org/author/2115524710,None,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
Daniel D. Garcia,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","145151213,https://www.semanticscholar.org/author/145151213,None,Institutions Share Successes$comma$ Failures$comma$ and Advice in Moving the Diversity Needle/2020/Daniel D. Garcia#M. Charikar#Eboney Hearn#Ed Lazowska#Jonathan Reynolds/145151213#1745732#1508809171#1683210#2068158757"
M. Charikar,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","1745732,https://www.semanticscholar.org/author/1745732,M Charikar/Moses S. Charikar/Moses Charikar,Institutions Share Successes$comma$ Failures$comma$ and Advice in Moving the Diversity Needle/2020/Daniel D. Garcia#M. Charikar#Eboney Hearn#Ed Lazowska#Jonathan Reynolds/145151213#1745732#1508809171#1683210#2068158757"
Eboney Hearn,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","1508809171,https://www.semanticscholar.org/author/1508809171,None,Institutions Share Successes$comma$ Failures$comma$ and Advice in Moving the Diversity Needle/2020/Daniel D. Garcia#M. Charikar#Eboney Hearn#Ed Lazowska#Jonathan Reynolds/145151213#1745732#1508809171#1683210#2068158757"
Jonathan Reynolds,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2068158757,https://www.semanticscholar.org/author/2068158757,None,Institutions Share Successes$comma$ Failures$comma$ and Advice in Moving the Diversity Needle/2020/Daniel D. Garcia#M. Charikar#Eboney Hearn#Ed Lazowska#Jonathan Reynolds/145151213#1745732#1508809171#1683210#2068158757"
C. Mote,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","144332418,https://www.semanticscholar.org/author/144332418,C Dan Mote/Chaitali Mote/C. D. Mote,Sexual harassment is a threat to engineering: A national academies report finds that it's not just individuals who suffer when gender-based abuse goes unaddressed - [Spectral Lines]/2018/C. Mote#S. Widnall#Ed Lazowska/144332418#4131653#1683210"
S. Widnall,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","4131653,https://www.semanticscholar.org/author/4131653,Sheila E. Widnall/S E Widnall/S. Widnall/S Widnall/Sheila Evans Widnall/Sheila E Widnall/Sheila Widnall/S. E. Widnall/Sheila. E. Widnall,Sexual harassment is a threat to engineering: A national academies report finds that it's not just individuals who suffer when gender-based abuse goes unaddressed - [Spectral Lines]/2018/C. Mote#S. Widnall#Ed Lazowska/144332418#4131653#1683210"
Wesley Chen,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2109059308,https://www.semanticscholar.org/author/2109059308,None,ReBound: An Open-Source 3D Bounding Box Annotation Tool for Active Learning/2023/Wesley Chen#Andrew Edgley#Raunak Hota#Joshua Liu#Ezra Schwartz#Aminah Yizar#Neehar Peri#James M. Purtilo/2109059308#2211431906#2211432214#2211469925#2211432439#2211431717#46191110#1718132"
Andrew Edgley,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2211431906,https://www.semanticscholar.org/author/2211431906,None,ReBound: An Open-Source 3D Bounding Box Annotation Tool for Active Learning/2023/Wesley Chen#Andrew Edgley#Raunak Hota#Joshua Liu#Ezra Schwartz#Aminah Yizar#Neehar Peri#James M. Purtilo/2109059308#2211431906#2211432214#2211469925#2211432439#2211431717#46191110#1718132"
Raunak Hota,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2211432214,https://www.semanticscholar.org/author/2211432214,None,ReBound: An Open-Source 3D Bounding Box Annotation Tool for Active Learning/2023/Wesley Chen#Andrew Edgley#Raunak Hota#Joshua Liu#Ezra Schwartz#Aminah Yizar#Neehar Peri#James M. Purtilo/2109059308#2211431906#2211432214#2211469925#2211432439#2211431717#46191110#1718132"
